"ID","appointment","lgbq","depression2","anxiety2","lowses","fgen","struggle2","disability2","transfer2","stigma","extent_out","csi","age3","gender3","race5"
1696,"tenuretrack",1,1,1,0,0,0,1,1,"2.5","all","lgbq","23-49","man","white"
1714,"instructor",1,1,1,0,0,0,0,0,"2","none","lgbq","50+","man","asian"
1769,"tenured",1,0,0,0,0,0,0,0,"2","all","lgbq","50+","woman","white"
1878,"instructor",1,1,1,0,0,1,0,0,"1","none","lgbq","23-49","woman","white"
1882,"tenuretrack",1,1,1,0,0,0,0,0,"1.5","all","lgbq","23-49","woman","white"
1891,"tenured",1,1,1,1,1,1,0,0,"3.5","none","lgbq","50+","man","white"
1902,"instructor",1,1,1,1,0,0,0,0,"2","none","lgbq","23-49",NA,"white"
1923,"tenuretrack",1,1,1,0,0,0,0,0,"3","all","lgbq","23-49","man","white"
1953,"tenuretrack",1,1,1,0,0,0,0,0,"3","all","lgbq","23-49","man",NA
1966,"instructor",1,1,1,1,1,0,0,0,"2","none","lgbq","23-49",NA,"white"
1979,"tenured",1,1,1,0,0,0,1,0,"2","none","lgbq","23-49","woman","white"
2003,"instructor",1,0,1,0,0,0,0,1,"2.5","none","lgbq","23-49","man","white"
2008,"tenured",1,1,1,0,0,0,0,0,"1","none","lgbq","23-49","man","white"
2025,"tenured",1,0,1,0,0,0,1,0,"3","none","lgbq","50+","woman","white"
2046,"instructor",1,1,1,0,0,0,0,0,"2.5","none","lgbq","23-49","woman","white"
2066,"tenured",1,1,1,0,1,1,0,0,"2","all","lgbq","23-49","man","white"
2094,"instructor",1,0,1,0,0,0,1,0,NA,"all","lgbq",NA,"man","asian"
2127,"tenuretrack",1,0,0,0,0,0,0,0,"2","some","lgbq","23-49","woman","white"
2149,"tenuretrack",1,0,0,0,0,0,0,0,"3.5","none","lgbq","23-49","woman","asian"
224,"tenuretrack",1,0,1,0,0,0,0,0,"3","none","lgbq","23-49","man","asian"
228,"tenuretrack",1,1,1,0,0,0,0,0,"3","all","lgbq","23-49","woman","white"
239,"tenured",1,1,1,0,0,1,0,0,"2.5","none","lgbq","23-49","woman","white"
249,"tenuretrack",1,0,0,0,0,0,0,0,"1.5","none","lgbq","23-49","man","white"
250,"instructor",1,NA,NA,0,0,0,0,0,"2","none","lgbq","23-49","man","white"
280,"tenuretrack",1,0,1,1,0,0,0,0,"2.5","none","lgbq","23-49","man",NA
282,"tenured",1,0,0,0,1,0,0,0,"2","none","lgbq","50+","man","peer"
291,"tenuretrack",1,1,1,0,1,1,1,0,"4","some","lgbq","23-49","man","peer"
299,"instructor",1,NA,NA,1,1,0,0,0,"4","none","lgbq","23-49","man","peer"
300,"tenured",1,0,1,0,0,0,0,0,"2","none","lgbq","50+","man","white"
321,"tenured",1,0,0,0,0,0,0,0,"3","none","lgbq","50+","woman","white"
332,"instructor",1,1,1,0,0,0,1,0,"3.5","some","lgbq","23-49",NA,"white"
340,"instructor",1,0,1,1,1,0,0,0,"1.5","all","lgbq","23-49","woman","white"
376,"instructor",1,0,0,0,0,0,1,1,"1","some","lgbq","23-49","man","white"
377,"tenured",1,0,0,0,0,0,0,0,"2.5","none","lgbq","50+","man","white"
392,"instructor",1,1,0,0,0,0,0,0,"3","all","lgbq","23-49","woman",NA
440,"instructor",1,1,1,0,0,0,0,0,"3","some","lgbq","23-49","woman","white"
451,"tenured",1,0,0,0,0,0,0,0,"2","none","lgbq","50+","woman","white"
460,"instructor",1,0,0,1,1,0,0,0,NA,"none","lgbq",NA,"man","white"
513,"tenuretrack",1,1,0,1,1,0,0,0,"3","all","lgbq","23-49","man","white"
52,"tenured",1,0,0,1,0,0,0,0,"3","none","lgbq","23-49","woman","white"
537,"tenuretrack",1,1,1,0,0,0,NA,0,"3.5","none","lgbq","23-49",NA,"white"
538,"instructor",1,0,0,0,0,0,0,0,"2","some","lgbq","23-49","woman","peer"
553,"tenured",1,1,1,0,1,1,0,0,"3","some","lgbq","23-49",NA,"asian"
56,"instructor",1,0,0,0,0,0,0,0,"2","some","lgbq","23-49","man","white"
635,"tenured",1,1,1,1,1,0,0,0,"2","none","lgbq","50+","woman","white"
662,"instructor",1,1,1,0,0,1,0,0,"3","none","lgbq","23-49","woman","white"
692,"tenuretrack",1,1,0,0,0,0,0,0,"1","none","lgbq","23-49","man","white"
709,"tenuretrack",1,1,1,1,0,0,1,1,"3","none","lgbq","23-49","woman","white"
73,"tenured",1,0,0,1,1,1,0,0,"3","some","lgbq","50+","woman","peer"
733,"tenured",1,1,NA,0,0,1,0,0,"3","none","lgbq","50+","man","white"
746,"tenured",1,0,0,1,0,0,0,0,"3.5","none","lgbq","23-49","woman","white"
75,"tenured",1,1,0,0,0,0,0,0,"2","none","lgbq","23-49","man","white"
764,"tenured",1,0,0,0,0,0,0,0,"1.5","none","lgbq","23-49","woman","white"
777,"instructor",1,1,1,1,1,1,1,0,"4","none","lgbq","23-49","man","white"
781,"instructor",1,1,0,0,0,0,0,0,"3","all","lgbq","23-49","man","white"
789,"tenured",1,1,1,0,1,0,0,0,"3","none","lgbq","50+","man","white"
817,"tenuretrack",1,0,0,0,0,0,0,0,"3","some","lgbq","23-49","man","white"
838,"instructor",1,0,1,1,1,0,0,0,"2","all","lgbq","23-49","man","white"
85,"instructor",1,1,1,0,1,0,0,0,"4","none","lgbq","23-49","man","white"
903,"instructor",1,0,0,1,0,0,0,0,"3","some","lgbq","23-49","woman","white"
93,"tenuretrack",1,1,1,0,0,0,1,1,"3","none","lgbq","23-49","woman","white"
943,"tenured",1,1,1,0,0,0,0,0,"3.5","none","lgbq","50+","man","white"
962,"tenured",1,1,1,0,0,0,1,0,"2.5","some","lgbq","50+","woman","white"
98,"tenured",1,0,0,0,0,0,0,0,"2","all","lgbq","23-49","woman","white"
1072,"tenuretrack",1,0,0,0,0,1,0,0,"3","all","tgnc","23-49",NA,"white"
121,"tenuretrack",1,0,0,0,0,0,0,0,"3.5","none","tgnc","50+",NA,"white"
1228,"instructor",1,1,1,0,0,1,0,0,"3","some","tgnc","23-49","woman","white"
129,"instructor",1,1,1,0,0,0,0,0,"3","none","tgnc","23-49","woman","white"
1306,"tenured",1,0,0,0,1,0,0,0,"2","none","tgnc","50+","man","white"
1333,"tenured",1,1,1,1,1,0,0,0,"3.5","none","tgnc","50+","man","white"
1411,"tenuretrack",1,1,1,0,0,0,0,0,"3","none","tgnc","50+",NA,"white"
1485,"instructor",1,1,1,0,0,0,1,0,"3.5","all","tgnc","23-49",NA,"white"
1769,"tenured",1,0,0,0,0,0,0,0,"2","all","tgnc","50+","woman","white"
1923,"tenuretrack",1,1,1,0,0,0,0,0,"4","all","tgnc","23-49","man","white"
1959,"tenured",0,1,1,0,0,1,1,0,"4","none","tgnc","50+",NA,"white"
1966,"instructor",1,1,1,1,1,0,0,0,"4","none","tgnc","23-49",NA,"white"
2066,"tenured",1,1,1,0,1,1,0,0,"3.5","all","tgnc","23-49","man","white"
249,"tenuretrack",1,0,0,0,0,0,0,0,"2.5","none","tgnc","23-49","man","white"
332,"instructor",1,1,1,0,0,0,1,0,"4","all","tgnc","23-49",NA,"white"
334,"tenured",0,1,1,0,1,0,0,0,"3.5","none","tgnc","23-49",NA,"white"
494,"instructor",1,1,1,0,0,1,0,0,NA,"some","tgnc",NA,"man","white"
537,"tenuretrack",1,1,1,0,0,0,NA,0,"4","some","tgnc","23-49",NA,"white"
553,"tenured",1,1,1,0,1,1,0,0,"3","some","tgnc","23-49",NA,"asian"
662,"instructor",1,1,1,0,0,1,0,0,"3","none","tgnc","23-49","woman","white"
73,"tenured",1,0,0,1,1,1,0,0,"3","some","tgnc","50+","woman","peer"
764,"tenured",1,0,0,0,0,0,0,0,"2","none","tgnc","23-49","woman","white"
838,"instructor",1,0,1,1,1,0,0,0,"3","some","tgnc","23-49","man","white"
1002,"tenured",0,1,1,0,1,0,0,0,"3","none","depress","23-49","woman","white"
1007,"tenuretrack",0,1,1,0,0,0,0,0,"2","some","depress","23-49","woman","white"
1008,"instructor",1,1,1,0,0,1,1,0,"3","some","depress","23-49","man","white"
101,"instructor",0,1,1,0,0,1,0,0,"3","all","depress","23-49","man","white"
1013,"instructor",0,1,1,1,1,0,0,0,"2","none","depress","23-49","man","white"
1015,"tenuretrack",0,1,1,0,1,0,0,0,"3","all","depress","23-49","man","white"
1019,"tenured",0,1,1,1,1,0,0,0,"1","none","depress","23-49","man","white"
1028,"tenuretrack",0,1,1,0,0,0,1,0,"2","none","depress","23-49","woman","white"
1029,"tenured",0,1,1,0,0,0,0,0,"1","none","depress","50+","woman","white"
1030,"tenured",0,1,0,0,0,0,0,0,"1","none","depress","50+","man","white"
1035,"instructor",0,1,1,1,1,0,0,1,"1","some","depress","23-49","woman","white"
104,"tenured",0,1,1,0,0,0,0,0,"3","none","depress","50+","woman","white"
1040,"instructor",0,1,1,0,0,1,0,1,"1","none","depress","50+","man","white"
1047,"tenuretrack",0,1,1,1,0,1,0,1,"2","none","depress","23-49","woman","white"
1048,"tenured",1,1,1,1,1,0,0,0,"3","none","depress","23-49","woman","white"
1049,"instructor",0,1,1,0,0,1,0,0,"3","none","depress","23-49","man","white"
1056,"tenuretrack",0,1,1,1,0,0,1,0,"2","none","depress","23-49","man","white"
1061,"instructor",0,1,1,1,1,1,1,0,"3","none","depress","23-49","man","white"
1063,"instructor",0,1,1,0,0,1,0,0,"3","none","depress","50+","man","white"
1067,"tenuretrack",1,1,1,0,0,0,0,0,"4","none","depress","23-49","woman","white"
1068,"tenured",1,1,1,0,0,0,0,1,"1","none","depress","50+","woman","white"
1073,"tenured",0,1,0,0,0,0,0,0,"2","none","depress","50+","man","white"
1083,"instructor",0,1,1,1,1,1,0,0,"4","some","depress","50+","woman","peer"
1084,"tenured",0,1,0,0,0,0,0,0,"1","none","depress","23-49","woman","white"
1092,"tenuretrack",0,1,1,1,1,1,0,0,"3","none","depress","23-49","woman",NA
1093,"instructor",0,1,1,0,0,0,1,0,"3","some","depress","23-49","woman","white"
1098,"tenuretrack",0,1,1,0,0,0,1,0,NA,"none","depress",NA,"man","white"
1115,"tenured",0,1,1,0,0,0,0,1,NA,"some","depress",NA,"man","white"
1117,"tenured",0,1,0,0,0,0,0,0,NA,"none","depress",NA,"man","white"
1137,"instructor",0,1,1,0,0,0,1,0,"3","none","depress","50+","woman","white"
114,"tenuretrack",0,1,1,0,0,0,0,0,"1","none","depress","23-49","man","white"
1145,"tenured",0,1,1,0,0,0,0,0,NA,"none","depress",NA,"woman",NA
115,"instructor",0,1,0,0,1,0,0,0,"4","some","depress","23-49","man","asian"
1151,"tenuretrack",1,1,1,0,0,0,0,0,"2","none","depress","23-49","woman","white"
1160,"tenured",0,1,1,0,0,0,0,0,"3","none","depress","23-49","man","white"
1163,"tenuretrack",0,1,1,0,0,0,0,0,"3","some","depress","23-49","woman","white"
1171,"tenuretrack",0,1,1,0,0,0,0,0,"4","none","depress","23-49","man",NA
1174,"tenured",0,1,1,1,1,0,0,0,"2","none","depress","50+","woman","white"
1176,"tenuretrack",1,1,1,0,0,0,0,0,"2","none","depress","23-49","man","white"
1181,"tenured",0,1,1,0,0,0,NA,0,"1","some","depress","23-49","man","white"
1187,"tenured",0,1,1,0,0,0,0,0,"2","all","depress","23-49","man","white"
1199,"tenured",1,1,1,0,0,0,0,0,"3","none","depress","23-49","man","white"
1201,"instructor",0,1,1,0,1,1,0,0,"2","none","depress","50+","man","white"
1204,"tenured",0,1,1,1,0,0,0,0,"1","none","depress","23-49","woman",NA
1208,"tenured",0,1,1,0,0,0,0,0,"4","none","depress","23-49","man","asian"
1209,"tenured",0,1,1,0,0,0,0,0,"1","none","depress","23-49","man","white"
1210,"tenuretrack",0,1,1,1,1,0,0,0,"4","none","depress","23-49","woman","white"
1211,"tenured",0,1,1,0,0,0,0,0,"3","some","depress","23-49","woman","white"
1221,"tenuretrack",1,1,1,0,0,0,0,0,"3","none","depress","23-49","woman","peer"
1228,"instructor",1,1,1,0,0,1,0,0,"3","none","depress","23-49","woman","white"
1231,"tenuretrack",1,1,1,0,0,0,0,0,"2","some","depress","23-49","woman","white"
1233,"tenured",0,1,1,0,0,0,0,0,"1","none","depress","50+","man","white"
1234,"tenured",0,1,1,0,1,1,NA,0,"3","all","depress","23-49","man","white"
124,"instructor",0,1,1,0,1,0,0,0,"3","none","depress","23-49","woman","asian"
1248,"tenured",0,1,1,0,0,0,0,0,"2","none","depress","23-49","man","peer"
1249,"tenured",0,1,0,0,1,0,0,0,"2","none","depress","50+","man","peer"
1253,"instructor",0,1,1,1,0,1,0,0,"3","none","depress","23-49","woman","white"
126,"instructor",0,1,0,0,0,0,0,0,"3","some","depress","23-49","man","white"
1263,"instructor",0,1,1,0,0,0,0,0,"2","some","depress","23-49","woman","white"
1265,"instructor",0,1,1,0,1,0,0,0,"3","none","depress","23-49","man","white"
1268,"tenured",0,1,0,0,0,0,0,0,"3","none","depress","50+","man","white"
1279,"tenuretrack",0,1,1,0,0,1,0,0,"2","none","depress","23-49","woman","white"
129,"instructor",1,1,1,0,0,0,0,0,"4","none","depress","23-49","woman","white"
1296,"tenured",NA,1,1,1,0,0,1,1,"2","all","depress","23-49","man","peer"
1297,"instructor",0,1,1,0,0,0,0,0,"3","none","depress","23-49","man","white"
1298,"instructor",0,1,1,0,1,0,0,0,"2","some","depress","23-49","woman","white"
13,"tenuretrack",0,1,1,0,0,0,0,0,"4","none","depress","23-49","man","white"
130,"tenured",0,1,1,0,0,0,1,0,"2","none","depress","23-49","woman","asian"
1302,"instructor",0,1,0,1,0,0,0,1,"4","none","depress","23-49","man","peer"
1309,"tenuretrack",0,1,1,0,1,0,0,0,"2","some","depress","23-49","woman","white"
1314,"tenured",0,1,1,1,1,1,0,0,"4","none","depress","50+","woman","peer"
1323,"tenured",0,1,1,0,1,0,0,0,"3","none","depress","23-49","man","white"
1326,"tenuretrack",0,1,1,1,0,0,1,0,"3","none","depress","23-49","woman","white"
133,"instructor",0,1,1,0,0,0,1,0,"2","some","depress","23-49","woman","white"
1332,"tenured",0,1,1,1,1,0,0,0,"2","none","depress","50+","man","white"
1333,"tenured",1,1,1,1,1,0,0,0,"2","none","depress","50+","man","white"
1337,"tenured",0,1,1,1,0,0,0,0,"3","none","depress","23-49","man","white"
134,"instructor",0,1,1,0,0,1,1,0,"3","some","depress","50+","man","white"
1344,"instructor",1,1,1,1,1,0,1,0,"4","some","depress","23-49","woman","white"
1354,"instructor",0,1,1,0,0,0,0,0,"2","none","depress","23-49","man","white"
136,"tenured",0,1,1,0,0,0,0,0,"2","some","depress","23-49","woman","white"
1383,"tenured",0,1,1,0,0,0,0,0,"3","none","depress","50+","man","white"
1390,"tenuretrack",0,1,1,1,0,1,0,0,NA,"none","depress","23-49","man","asian"
1399,"instructor",0,1,1,0,1,1,0,0,"2","some","depress","23-49","man","white"
140,"instructor",0,1,1,0,0,1,0,0,"2","some","depress","23-49","woman","white"
1406,"instructor",0,1,1,0,0,0,0,0,"2","some","depress","23-49","woman","white"
1410,"instructor",0,1,1,0,0,0,0,0,"2","none","depress","23-49","woman","white"
1411,"tenuretrack",1,1,1,0,0,0,0,0,"2","none","depress","50+",NA,"white"
1412,"instructor",1,1,1,0,0,0,0,0,"4","none","depress","23-49","man","peer"
1413,"tenuretrack",0,1,1,0,0,0,1,0,"3","none","depress","23-49","woman","white"
1416,"tenured",0,1,0,0,0,0,0,0,"2","none","depress","23-49","woman","white"
1417,"tenured",0,1,1,0,0,0,0,0,"2","all","depress","50+","woman","white"
1418,"tenured",0,1,1,1,1,1,NA,0,"3","none","depress","23-49","man","white"
1420,"tenuretrack",0,1,1,1,1,1,0,0,"1","none","depress","23-49","woman","peer"
1424,"tenuretrack",0,1,0,0,0,0,0,0,"1","none","depress","23-49","woman","white"
1428,"tenured",0,1,1,0,0,0,0,0,"2","none","depress","50+","man","white"
1431,"instructor",0,1,1,0,0,1,0,0,"2","some","depress","50+","woman","white"
1433,"tenured",0,1,1,1,1,0,0,0,"2","none","depress","50+","man","white"
1434,"instructor",0,1,1,0,0,1,0,0,"4","none","depress","50+","woman","peer"
1437,"tenured",0,1,1,1,0,0,1,0,"4","none","depress","23-49","man",NA
1441,"tenured",0,1,1,0,0,1,0,0,"3","some","depress","23-49","woman","white"
1446,"instructor",0,1,1,0,0,0,0,0,"2","some","depress","50+","man","white"
1449,"instructor",0,1,1,1,1,1,1,0,"4","some","depress","23-49","man","peer"
1452,"instructor",0,1,1,0,0,0,0,0,"3","none","depress","50+","woman","white"
1458,"tenuretrack",0,1,1,1,1,0,0,0,"2","none","depress","23-49","man","white"
1460,"tenured",0,1,1,1,0,0,NA,0,"2","none","depress","50+","woman","white"
1462,"instructor",1,1,1,0,0,0,0,0,"3","some","depress","50+","man","white"
1464,"tenuretrack",0,1,1,0,0,1,0,0,"2","some","depress","23-49","man","white"
1468,"tenured",0,1,1,0,0,0,0,1,"3","none","depress","50+","man","white"
1470,"tenured",0,1,0,0,1,0,0,0,"3","none","depress","50+","woman",NA
1475,"instructor",1,1,1,1,1,1,0,1,"2","some","depress","23-49","man","white"
1491,"instructor",0,1,0,0,0,0,0,0,"2","none","depress","23-49","woman","white"
1492,"instructor",1,1,1,1,0,1,0,0,"2","none","depress","23-49","woman","white"
1496,"tenured",0,1,1,0,0,0,0,0,"3","none","depress","50+","woman","white"
1498,"tenuretrack",0,1,1,0,0,0,1,0,"1","none","depress","23-49","woman","white"
1501,"tenured",0,1,1,0,0,0,0,0,"1","none","depress","50+","woman","white"
1502,"tenuretrack",0,1,1,1,0,1,1,0,"3","none","depress","23-49","woman","peer"
1506,"tenured",0,1,1,0,0,0,0,0,"2","none","depress","50+","man","white"
1508,"tenuretrack",0,1,1,0,0,0,0,0,"1","none","depress","23-49","man","white"
1512,"tenuretrack",0,1,1,0,0,0,1,0,"2","none","depress","23-49","man","white"
1517,"instructor",0,1,1,0,1,0,1,0,"2","some","depress","23-49","woman","white"
1519,"tenuretrack",NA,1,1,0,0,0,0,0,"4","none","depress","23-49","man","asian"
1521,"tenured",1,1,1,0,0,0,0,0,"4","none","depress","50+","woman","white"
1522,"tenured",0,1,1,0,0,0,0,0,"1","none","depress","50+","man","white"
1523,"instructor",0,1,1,0,0,0,0,0,"3","none","depress","23-49","woman","white"
1524,"instructor",0,1,1,0,0,0,0,0,"4","some","depress","23-49","woman","white"
1528,"instructor",0,1,0,0,1,0,0,0,"1","none","depress","23-49","woman","white"
1529,"tenuretrack",0,1,1,1,1,0,0,0,"3","none","depress","23-49","woman","peer"
1539,"tenuretrack",0,1,1,0,1,0,0,0,"1","none","depress","23-49","man","white"
154,"tenured",0,1,1,0,1,0,0,0,"3","none","depress","50+","man","peer"
1546,"instructor",0,1,1,1,1,0,1,0,"1","none","depress","23-49","woman","peer"
1547,"tenuretrack",0,1,1,1,1,1,NA,0,"4","none","depress","23-49","woman","peer"
1549,"tenured",0,1,1,0,0,0,0,0,"2","some","depress","50+","man","white"
1551,"tenuretrack",0,1,1,0,0,0,1,0,"2","none","depress","23-49","man","white"
1552,"tenured",0,1,1,0,0,0,0,0,"3","none","depress","50+","woman","asian"
1554,"tenured",0,1,0,0,0,0,0,0,"1","none","depress","23-49","man","white"
156,"instructor",0,1,1,0,0,1,0,0,"4","some","depress","23-49","woman","white"
1565,"tenured",0,1,0,1,1,0,0,0,"1","none","depress","50+","man","white"
1567,"tenured",1,1,0,1,1,0,0,0,"3","none","depress","23-49","man","white"
1572,"tenured",0,1,1,0,0,0,1,1,"4","all","depress","50+","woman","peer"
1591,"tenured",0,1,1,0,0,0,0,0,"2","none","depress","50+","man","white"
16,"tenuretrack",1,1,1,1,1,0,0,0,"2","some","depress","23-49","man","white"
1604,"tenured",0,1,0,0,0,0,0,0,"3","none","depress","50+","man","white"
1609,"instructor",0,1,1,0,0,1,0,0,"3","all","depress","23-49","woman","white"
1617,"tenured",0,1,1,0,0,1,0,0,"1","some","depress","50+","man","white"
1624,"tenured",0,1,1,0,0,0,0,0,"1","none","depress","23-49","woman","white"
1632,"tenuretrack",0,1,1,1,0,1,0,0,"3","none","depress","23-49","man","white"
1637,"tenuretrack",0,1,1,0,0,0,0,0,"3","none","depress","23-49","woman","asian"
1638,"tenured",0,1,1,0,0,0,0,0,"3","none","depress","50+","man","white"
164,"instructor",0,1,1,0,0,0,0,0,"3","some","depress","23-49","woman","white"
1643,"tenuretrack",0,1,1,0,0,0,0,0,"1","none","depress","23-49","man","asian"
1651,"tenuretrack",0,1,1,0,0,0,1,0,"3","some","depress","23-49","woman","white"
1653,"tenured",0,1,0,0,0,0,0,0,"1","none","depress","50+","man","asian"
1654,"tenuretrack",0,1,1,0,0,0,0,0,"3","none","depress","23-49","woman","white"
1655,"instructor",0,1,1,0,0,0,0,0,"1","some","depress","50+","woman","white"
1656,"tenured",1,1,1,0,0,0,0,0,"4","none","depress","23-49","man","white"
1662,"tenured",0,1,0,0,0,0,0,0,"1","none","depress","50+","woman","white"
1666,"tenured",0,1,1,0,0,0,0,0,"3","some","depress","50+","man",NA
1676,"instructor",0,1,1,0,0,0,0,0,"2","none","depress","50+","woman","white"
1683,"tenuretrack",0,1,1,0,0,0,0,0,"2","none","depress","23-49","woman","white"
1684,"instructor",0,1,0,0,0,1,0,0,"3","none","depress","50+","man","white"
1687,"tenured",0,1,1,1,0,0,NA,0,"3","none","depress","23-49","man","white"
1689,"tenured",0,1,0,0,0,0,0,0,"2","some","depress","50+","man","white"
169,"tenuretrack",0,1,1,1,1,0,0,0,"3","none","depress","23-49","woman","white"
1691,"instructor",0,1,0,0,1,0,0,0,"3","none","depress","50+","woman","white"
1696,"tenuretrack",1,1,1,0,0,0,1,1,"4","none","depress","23-49","man","white"
1699,"instructor",0,1,1,1,0,0,0,0,"3","none","depress","23-49","man","white"
1708,"tenured",0,1,1,0,0,0,0,0,"1","none","depress","50+","man","white"
1709,"instructor",0,1,1,0,0,1,1,0,"3","none","depress","50+","man","white"
171,"tenured",0,1,1,0,0,1,0,0,"2","none","depress","50+","man","white"
1712,"tenured",0,1,1,0,0,0,0,0,"2","none","depress","50+","man","white"
1714,"instructor",1,1,1,0,0,0,0,0,"2","none","depress","50+","man","asian"
1717,"tenuretrack",0,1,0,0,0,0,0,0,"2","none","depress","23-49","woman","asian"
1718,"tenured",NA,1,1,1,1,1,0,0,"3","some","depress","23-49","man","white"
1725,"tenured",0,1,0,1,1,0,0,0,"2","some","depress","50+","woman","white"
1736,"tenuretrack",0,1,0,0,0,0,0,0,"2","none","depress","23-49","woman","asian"
1737,"instructor",0,1,1,0,0,0,0,0,"2","some","depress","23-49","man","white"
174,"tenured",0,1,0,1,0,0,0,0,"3","none","depress","23-49","man","white"
1771,"tenured",0,1,1,1,1,1,0,0,"4","none","depress","50+","man",NA
1774,"instructor",0,1,1,0,0,0,0,0,"3","none","depress","23-49","man","white"
1786,"tenuretrack",0,1,1,0,0,0,0,0,"3","none","depress","23-49","woman","white"
1787,"tenured",0,1,1,0,0,0,0,0,"2","none","depress","23-49","woman","white"
179,"tenured",0,1,0,0,0,0,0,0,"1","none","depress","50+","man","white"
1790,"tenured",NA,1,1,0,0,0,0,0,"2","some","depress","50+","woman","white"
1792,"instructor",0,1,1,0,0,0,0,0,"1","none","depress","23-49","man","white"
1799,"instructor",0,1,1,0,1,1,0,0,"2","none","depress","23-49","woman","peer"
18,"tenuretrack",0,1,0,1,1,0,0,0,"4","none","depress","23-49","man","white"
1805,"tenured",0,1,1,0,0,0,NA,0,"2","none","depress","23-49","man","white"
1807,"tenured",0,1,1,0,0,0,0,1,"2","none","depress","23-49","man","white"
181,"instructor",0,1,1,0,0,0,0,1,"3","none","depress","23-49","woman","white"
1811,"tenured",0,1,1,0,1,1,0,0,"3","none","depress","50+","man","white"
1812,"tenured",0,1,0,0,0,0,0,0,"2","some","depress","50+","woman","white"
1817,"tenured",0,1,0,0,1,0,0,1,"1","none","depress","23-49","woman","white"
1830,"tenured",0,1,1,0,1,0,0,0,"3","none","depress","23-49","woman","white"
1843,"tenured",0,1,1,0,0,1,0,0,"3","none","depress","50+","man","white"
1847,"instructor",0,1,1,0,0,0,0,0,"2","none","depress","23-49","woman","white"
1854,"tenured",0,1,1,1,1,0,0,0,"3","none","depress","50+","woman","white"
